zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Stare Kurowo,Crotalus cerastes,"Rattlesnake, horned","Squirrel, golden-mantled ground",Female,2/23/2024,8,true
Kawengan,Varanus sp.,"Lizard, goanna",Banded mongoose,Female,12/19/2023,23,true
Johogunung,unavailable,Adouri (unidentified),Yellow-bellied marmot,Male,5/4/2023,1,false
Skovorodino,Recurvirostra avosetta,Pied avocet,"Cat, african wild",Female,10/15/2023,6,true
Zambrów,Eudyptula minor,Fairy penguin,"Flicker, campo",Female,3/7/2024,16,false
Lammi,Phalacrocorax carbo,Large cormorant,White-throated toucan,Female,7/22/2023,12,true
Nowe Warpno,Galictis vittata,Huron,Western grey kangaroo,Male,7/3/2022,17,true
Müllendorf,Phalacrocorax varius,"Cormorant, pied","Phalarope, red",Male,2/2/2023,2,false
Wierzchosławice,Papilio canadensis,Canadian tiger swallowtail butterfly,"Reedbuck, bohor",Female,2/18/2024,13,false
Malhão,Cacatua galerita,Sulfur-crested cockatoo,"Pintail, white-cheeked",Female,10/13/2022,13,false
Kalate,Isoodon obesulus,"Bandicoot, short-nosed",Pocket gopher (unidentified),Agender,3/3/2023,5,false
Lianglin,Notechis semmiannulatus,"Snake, tiger",Roseate cockatoo,Genderqueer,8/12/2023,29,true
Xinmatou,Felis silvestris lybica,African wild cat,Common grenadier,Female,10/27/2022,7,false
Gaide,Mabuya spilogaster,"Skink, african","Constrictor, eastern boa",Male,12/17/2022,10,true
Kitahiroshima,Madoqua kirkii,Kirk's dik dik,Burrowing owl,Female,6/22/2022,15,true
Drohobych,Grus antigone,Sarus crane,"Booby, blue-faced",Male,2/21/2024,24,false
Lom Sak,Diceros bicornis,Black rhinoceros,"Capuchin, brown",Female,7/13/2023,27,false
Libice nad Cidlinou,Chlidonias leucopterus,White-winged tern,"Otter, african clawless",Bigender,10/28/2022,8,false
Marāveh Tappeh,Kobus defassa,"Waterbuck, common",Klipspringer,Female,6/22/2022,15,true
Skärholmen,Connochaetus taurinus,"Gnu, brindled",North American red fox,Female,7/4/2023,25,false
Pliska,Paraxerus cepapi,"Squirrel, african bush",Sidewinder,Female,5/1/2023,25,false
Santo Amador,Ursus americanus,American black bear,Baleen whale,Female,12/14/2022,11,true
Żórawina,Macropus rufus,"Kangaroo, red",White-lipped peccary,Female,1/9/2024,18,true
Anh Son,Macaca radiata,Bonnet macaque,"Lizard, mexican beaded",Male,2/21/2024,18,false
Hirakata,Nyctanassa violacea,Yellow-crowned night heron,"Gull, silver",Male,10/24/2023,30,true
Guyancourt,Semnopithecus entellus,Hanuman langur,Rufous-collared sparrow,Male,10/31/2022,28,false
Jianghong,Ploceus rubiginosus,Chestnut weaver,"Swan, black",Male,2/16/2023,18,false
Chauk,Marmota flaviventris,"Marmot, yellow-bellied",Koala,Male,11/24/2022,7,true
Kasba Tadla,Leptoptilos crumeniferus,"Stork, marabou","Squirrel, malabar",Male,8/30/2022,29,false
Dagar,Psophia viridis,Green-winged trumpeter,"Owl, white-browed",Female,10/16/2022,3,false
Osvaldo Cruz,Phascolarctos cinereus,Koala,"Civet, small-toothed palm",Male,8/12/2023,24,true
Tembau,Papio cynocephalus,"Baboon, yellow","Iguana, marine",Male,12/8/2022,17,true
Tifni,Manouria emys,"Tortoise, burmese brown mountain",Collared lizard,Female,2/28/2024,27,false
Piúma,Merops nubicus,"Bee-eater, carmine","Gecko, ring-tailed",Genderqueer,11/11/2023,22,false
Zhanxu,Naja nivea,"Cobra, cape","Capuchin, weeper",Male,12/30/2023,10,true
Pung-Pang,Varanus salvator,Water monitor,"Bulbul, black-fronted",Non-binary,6/9/2023,10,true
Heshui,Trichoglossus haematodus moluccanus,"Lory, rainbow",Stone sheep,Agender,1/19/2023,19,true
Trŭn,Callorhinus ursinus,"Seal, northern fur",Four-horned antelope,Male,7/24/2023,8,true
Taiyang,Macropus parryi,Whip-tailed wallaby,Painted stork,Female,1/15/2024,24,true
Sinamaica,Nycticorax nycticorax,"Heron, black-crowned night",Western palm tanager (unidentified),Female,4/18/2024,11,false
Sumberkenanga,Iguana iguana,"Iguana, common green","Spurfowl, yellow-necked",Female,7/17/2023,7,false
Zābolī,Zosterops pallidus,Pale white-eye,"Heron, striated",Female,10/3/2023,10,false
Littleton,Egretta thula,"Egret, snowy",Steller's sea lion,Female,2/9/2023,26,true
Malabar,Crotaphytus collaris,Collared lizard,Long-tailed spotted cat,Female,7/23/2022,24,false
Mangdang,Tadorna tadorna,"Shelduck, common",Common wolf,Female,12/14/2022,2,false
Tarata,unavailable,Bird (unidentified),Red-tailed phascogale,Female,5/1/2023,14,true
Masis,Dasypus novemcinctus,Common long-nosed armadillo,Snake-necked turtle,Female,7/26/2022,29,true
Ruteng,Equus hemionus,"Ass, asiatic wild",American bison,Male,10/9/2022,21,false
Francisco Beltrão,Zenaida galapagoensis,Galapagos dove,Goanna lizard,Female,9/14/2023,20,false
Tungipāra,Papio cynocephalus,"Baboon, yellow","Macaque, bonnet",Female,11/1/2022,18,true
Tailing,Paraxerus cepapi,African bush squirrel,"Owl, madagascar hawk",Male,9/26/2023,10,false
Sidi Qacem,Camelus dromedarius,"Camel, dromedary","Stork, openbill",Male,1/27/2023,7,true
Västerås,Macaca mulatta,Rhesus monkey,"Boar, wild",Female,12/25/2022,20,true
Rangpur,Lamprotornis nitens,Cape starling,Honey badger,Male,4/21/2023,5,false
Bogoria,Butorides striatus,Green heron,Blue-tongued skink,Female,6/1/2023,3,true
Raškovice,Gymnorhina tibicen,Black-backed magpie,Egyptian vulture,Polygender,8/14/2023,22,true
Mosina,Hippopotamus amphibius,Hippopotamus,"Opossum, american virginia",Agender,1/28/2024,6,false
Mlimba,Ovis dalli stonei,Stone sheep,"Jackal, black-backed",Female,11/1/2023,6,true
Emiliano Zapata,Bos taurus,Scottish highland cow,Common long-nosed armadillo,Female,9/7/2023,8,true
Det Udom,Castor canadensis,"Beaver, north american",Magnificent frigate bird,Polygender,9/13/2023,19,false
Bandar-e Lengeh,Aonyx capensis,African clawless otter,Squirrel glider,Female,6/14/2022,16,true
Malusay,Eudyptula minor,Fairy penguin,"Cat, tiger",Female,10/18/2023,15,true
Shuya,Parus atricapillus,Black-capped chickadee,"Opossum, american virginia",Female,1/25/2023,2,false
Ujung Gading,Antechinus flavipes,"Antechinus, brown",Collared lizard,Female,7/8/2022,30,false
Bronx,Phalaropus fulicarius,"Phalarope, grey",Rhesus macaque,Male,7/24/2022,12,false
Mozi,Lasiodora parahybana,Tarantula,"Sunbird, lesser double-collared",Male,7/17/2023,4,false
Lombo Meão,Capreolus capreolus,Roe deer,"Badger, eurasian",Male,2/24/2024,17,false
Dolní Čermná,Cracticus nigroagularis,"Bird, black-throated butcher","Waxbill, blue",Female,9/28/2022,16,true
Quintão,Hymenolaimus malacorhynchus,Blue duck,Grey lourie,Genderfluid,3/27/2024,3,false
Lahar,Ovis dalli stonei,Stone sheep,Blue shark,Male,3/25/2024,26,false
Hanušovice,Pteronura brasiliensis,Brazilian otter,Yellow-headed caracara,Male,5/16/2023,11,true
Kano,Varanus sp.,"Legaan, Monitor (unidentified)","Booby, blue-footed",Male,11/28/2022,5,false
Bailai,Perameles nasuta,Long-nosed bandicoot,Wattled crane,Male,3/27/2023,13,false
Curahklapa,Panthera tigris,Tiger,Blue and yellow macaw,Female,1/9/2023,6,false
‘Arīqah,Panthera pardus,"Leopard, indian","Gecko, bent-toed",Female,7/25/2023,29,false
Lakeland,Eudromia elegans,Elegant crested tinamou,"Lion, steller sea",Female,7/24/2022,3,true
Tulaghi,Cercatetus concinnus,"Possum, western pygmy","Phalarope, northern",Male,10/4/2022,27,true
Zama,Carduelis pinus,"Siskin, pine",Little blue penguin,Female,12/12/2023,16,false
Jinhai,Varanus salvator,Water legaan,"Langur, hanuman",Male,2/17/2024,12,true
Hongqi Yingzi,Tragelaphus angasi,Nyala,"Brocket, brown",Male,4/16/2023,13,false
Las Mercedes,Felis silvestris lybica,"Cat, european wild",Spotted-tailed quoll,Female,8/13/2022,29,true
Alebtong,Charadrius tricollaris,"Plover, three-banded",Common palm civet,Female,5/23/2023,29,true
Dagohoy,Panthera pardus,"Leopard, indian","Shrike, southern white-crowned",Female,12/29/2022,15,true
Qianjiang,Tayassu pecari,"Peccary, white-lipped",Red lava crab,Polygender,10/7/2022,30,false
Jiuzihe,Dasypus novemcinctus,"Armadillo, nine-banded","Lizard, desert spiny",Male,9/2/2023,7,false
Viana,Chlidonias leucopterus,"Tern, white-winged black",Springbuck,Female,9/23/2023,23,true
Kými,Pteronura brasiliensis,Giant otter,"Squirrel, european red",Male,9/19/2022,30,false
Óbidos,Felis yagouaroundi,Jaguarundi,"Nuthatch, red-breasted",Male,5/27/2023,30,true
Nice,Plectopterus gambensis,"Goose, spur-winged","Monitor, white-throated",Female,8/24/2022,30,true
Aguas Verdes,Vanellus armatus,"Plover, blacksmith",Brush-tailed phascogale,Female,8/1/2022,15,true
Zlatoust,Milvus migrans,"Kite, black","Crow, pied",Male,10/23/2023,10,true
Rönninge,Phalaropus fulicarius,Grey phalarope,Galapagos tortoise,Female,2/26/2023,11,false
Gandusari,Eolophus roseicapillus,Roseate cockatoo,Southern hairy-nosed wombat,Male,8/12/2023,27,false
Yangmiao,Mycteria leucocephala,Painted stork,Barrows goldeneye,Male,1/24/2024,14,true
Cavadas,Laniarius ferrugineus,Common boubou shrike,"Catfish, blue",Bigender,10/16/2023,9,true
San Miguel,Oryx gazella,Beisa oryx,"Crow, house",Female,11/9/2023,20,true
Guadalupe,Bos frontalis,Gaur,"Shark, blue",Female,9/4/2022,14,false
Castillos,Melursus ursinus,"Bear, sloth",Red-shouldered glossy starling,Female,10/14/2023,28,true
Strohonivka,Aonyx capensis,"Otter, cape clawless",Burmese black mountain tortoise,Genderqueer,10/4/2023,28,false
El Arenal,Genetta genetta,Small-spotted genet,African lion,Female,8/6/2023,6,true
Sundbyberg,Sarkidornis melanotos,"Goose, knob-nosed","Jacana, african",Female,7/8/2022,14,true
Tanda,Taxidea taxus,American badger,Wild turkey,Male,11/30/2023,8,false
Busan,Giraffe camelopardalis,Giraffe,Australian pelican,Female,11/14/2022,7,true
Atescatempa,Vombatus ursinus,Common wombat,Olive baboon,Female,3/20/2024,30,false
Serrinha,Platalea leucordia,European spoonbill,Black bear,Female,8/4/2023,27,false
La Clotilde,Tamandua tetradactyla,Southern tamandua,Yellow-billed hornbill,Genderfluid,6/14/2023,17,true
Pailiao,Eudyptula minor,"Penguin, little blue",Komodo dragon,Female,11/18/2023,11,false
Bodzanów,Larus dominicanus,Southern black-backed gull,Bonnet macaque,Male,7/15/2022,22,true
Suren,unavailable,Cormorant (unidentified),Timber wolf,Male,11/21/2023,6,true
Sidomulyo,Nyctea scandiaca,"Owl, snowy",Emerald-spotted wood dove,Genderqueer,8/19/2023,10,true
Conde,Bubalus arnee,"Buffalo, wild water",Savannah deer,Male,6/15/2022,26,false
Yongxing Chengguanzhen,Corvus albus,"Crow, pied",Euro wallaby,Polygender,3/8/2023,16,true
Cuito,Cracticus nigroagularis,"Bird, black-throated butcher",Manatee,Male,9/22/2023,22,true
Sydney,Crotalus triseriatus,Dusky rattlesnake,Australian spiny anteater,Female,12/5/2022,20,false
Angadanan,Erethizon dorsatum,North American porcupine,"Colobus, black and white",Female,4/28/2023,19,true
Tuchoměřice,Oryx gazella callotis,"Oryx, fringe-eared","Jackal, silver-backed",Female,1/15/2024,20,false
Tubarão,Equus burchelli,"Zebra, plains","Plover, three-banded",Female,3/14/2024,1,true
Hedian,Terathopius ecaudatus,Bateleur eagle,Dama wallaby,Male,6/14/2023,16,true
Meishan,Phalacrocorax brasilianus,Neotropic cormorant,White-winged dove,Genderqueer,7/4/2023,30,false
Espinal,Lycaon pictus,African wild dog,"Dove, rock",Female,11/1/2022,26,true
Monastir,Genetta genetta,"Genet, small-spotted",Ovenbird,Female,8/15/2023,16,false
Danyang,Colobus guerza,White-mantled colobus,"Hyena, spotted",Female,4/27/2023,4,false
Longzhouwan,Petaurus breviceps,Sugar glider,"Iguana, land",Male,2/20/2023,16,true
Yanjiatai,Ara macao,Scarlet macaw,White-throated monitor,Female,4/2/2023,29,false
Mayfa‘ah,Microcebus murinus,"Lemur, grey mouse",Manatee,Male,9/26/2022,8,true
Jõhvi,Hystrix cristata,African porcupine,"Pie, rufous tree",Female,6/21/2023,5,true
Ewirgol,Hippopotamus amphibius,Hippopotamus,Blue-tongued skink,Non-binary,10/19/2022,15,false
Kauditan,Milvago chimachima,Yellow-headed caracara,"Eagle, bald",Male,12/3/2023,18,false
Santana,Sylvilagus floridanus,"Rabbit, eastern cottontail",Cougar,Female,4/25/2023,15,true
Granja,Pteropus rufus,Madagascar fruit bat,"Mongoose, banded",Genderfluid,11/20/2023,21,true
Parada de Todeia,unavailable,Mudskipper (unidentified),"Mockingbird, galapagos",Male,1/15/2023,17,true
Tiandian,unavailable,Caracara (unidentified),Common wallaroo,Female,11/6/2023,27,true
Xinkai,Connochaetus taurinus,Brindled gnu,Dusky gull,Female,2/27/2023,18,false
Baguim do Monte,Plocepasser mahali,"Weaver, white-browed sparrow",Black-winged stilt,Female,7/25/2023,18,true
Zborište,Dasypus novemcinctus,Nine-banded armadillo,Black rhinoceros,Male,6/12/2023,23,false
Yanggan,Phalacrocorax varius,Pied cormorant,"Tortoise, radiated",Male,1/1/2024,9,false
Werasari,Agelaius phoeniceus,Red-winged blackbird,"Jaeger, long-tailed",Male,9/13/2023,6,true
Kertosari,Cervus elaphus,Red deer,Reindeer,Male,9/17/2022,13,true
Villeneuve-d'Ascq,Redunca redunca,"Reedbuck, bohor","Dragonfly, russian",Non-binary,7/5/2022,24,true
Port Washington,Phoenicopterus ruber,Roseat flamingo,"Lion, steller sea",Male,8/9/2022,18,true
Sangoleng,Cacatua tenuirostris,"Cockatoo, long-billed","Dunnart, fat-tailed",Male,1/21/2024,29,false
Evansville,Melursus ursinus,"Bear, sloth","Porcupine, north american",Female,6/26/2022,7,true
Pengfang,Streptopelia senegalensis,"Dove, little brown","Bird, magnificent frigate",Bigender,11/6/2023,15,true
Strängnäs,Butorides striatus,Striated heron,"Duiker, gray",Male,11/9/2023,2,true
Nijemci,Anastomus oscitans,"Stork, openbill",Emerald green tree boa,Male,10/20/2022,22,false
Tambak,Alcelaphus buselaphus cokii,Coke's hartebeest,Sage grouse,Male,1/11/2024,25,true
Fontenay-sous-Bois,Scolopax minor,"Woodcock, american","Langur, gray",Female,4/4/2023,27,false
Mañazo,Alligator mississippiensis,"Alligator, mississippi",Black-fronted bulbul,Polygender,1/25/2023,29,false
Tingloy,Papio cynocephalus,"Baboon, yellow","Squirrel, eurasian red",Bigender,12/23/2023,20,true
Lodja,Laniarius ferrugineus,Common boubou shrike,"Goldeneye, common",Male,3/28/2023,4,true
Sharīfābād,Macaca fuscata,"Macaque, japanese",White-faced whistling duck,Genderqueer,2/26/2023,9,false
Badajoz,Phalacrocorax varius,"Cormorant, pied","Spurfowl, yellow-necked",Male,6/29/2022,23,true
